question,category
Any tips for dealing with balancing work and study?,mental_health_wellbeing
Can you explain changing major?,academic_advising
What should I do about internship preparation?,academic_advising
How can I cope with balancing work and study?,mental_health_wellbeing
I don't understand GPA improvement.,academic_advising
Can you explain changing major?,academic_advising
I'm feeling anxious about difficulty focusing.,mental_health_wellbeing
How can I cope with difficulty focusing?,mental_health_wellbeing
I'm struggling with comparison with classmates.,mental_health_wellbeing
What should I do if I experience study anxiety?,mental_health_wellbeing
I'm feeling anxious about feeling overwhelmed.,mental_health_wellbeing
I'm having trouble because of exam stress.,mental_health_wellbeing
What should I do about late assignments?,academic_advising
How can I improve my situation with comparison with classmates?,mental_health_wellbeing
How can I improve my situation with burnout?,mental_health_wellbeing
I'm having trouble because of career uncertainty.,mental_health_wellbeing
I'm feeling anxious about stress during deadlines.,mental_health_wellbeing
I feel overwhelmed due to balancing work and study.,mental_health_wellbeing
I feel overwhelmed due to stress during deadlines.,mental_health_wellbeing
Can you explain assignment submission?,academic_advising
I don't understand internship preparation.,academic_advising
I feel stressed because of loss of interest in studying.,mental_health_wellbeing
I need help with grading system.,academic_advising
What should I do about course registration?,academic_advising
I don't understand GPA improvement.,academic_advising
I don't understand midterm exams.,academic_advising
I don't understand course selection.,academic_advising
I feel stressed because of feeling stuck academically.,mental_health_wellbeing
Can you guide me regarding midterm exams?,academic_advising
I'm having trouble because of sleep problems before exams.,mental_health_wellbeing
What should I do if I experience stress during deadlines?,mental_health_wellbeing
How can I improve my situation with balancing gym and studying?,mental_health_wellbeing
I need help with graduation requirements.,academic_advising
What are the rules about midterm exams?,academic_advising
Can you explain course registration?,academic_advising
I don't understand GPA improvement.,academic_advising
How can I cope with balancing gym and studying?,mental_health_wellbeing
I'm having trouble because of career uncertainty.,mental_health_wellbeing
I'm feeling anxious about exam stress.,mental_health_wellbeing
Can you guide me regarding course selection?,academic_advising
What should I do about failing a course?,academic_advising
I feel overwhelmed due to career uncertainty.,mental_health_wellbeing
Any tips for dealing with stress during deadlines?,mental_health_wellbeing
How can I cope with exam stress?,mental_health_wellbeing
Can you guide me regarding assignment submission?,academic_advising
I don't understand late assignments.,academic_advising
How can I cope with mental exhaustion?,mental_health_wellbeing
I'm feeling anxious about mental exhaustion.,mental_health_wellbeing
I feel overwhelmed due to comparison with classmates.,mental_health_wellbeing
Any tips for dealing with burnout?,mental_health_wellbeing
How can I cope with mental exhaustion?,mental_health_wellbeing
Do you have advice for procrastination?,mental_health_wellbeing
Any tips for dealing with balancing work and study?,mental_health_wellbeing
What happens if I have issues with credit hours?,academic_advising
I feel overwhelmed due to loneliness at university.,mental_health_wellbeing
What should I do about study planning?,academic_advising
What happens if I have issues with GPA improvement?,academic_advising
Can the university help me with course materials?,academic_advising
Can you explain retaking a course?,academic_advising
How can I cope with loneliness at university?,mental_health_wellbeing
I feel stressed because of procrastination.,mental_health_wellbeing
I'm struggling with career uncertainty.,mental_health_wellbeing
I'm struggling with sleep problems before exams.,mental_health_wellbeing
I need help with elective courses.,academic_advising
I'm struggling with feeling overwhelmed.,mental_health_wellbeing
What should I do about failing a course?,academic_advising
I feel stressed because of loss of interest in studying.,mental_health_wellbeing
Can the university help me with grading system?,academic_advising
I don't understand elective courses.,academic_advising
What are the rules about course selection?,academic_advising
I need help with course prerequisites.,academic_advising
Can you guide me regarding retaking a course?,academic_advising
Can you guide me regarding GPA improvement?,academic_advising
I'm feeling anxious about balancing gym and studying.,mental_health_wellbeing
Can the university help me with course materials?,academic_advising
I need help with attendance policy.,academic_advising
Can you guide me regarding failing a course?,academic_advising
How can I cope with procrastination?,mental_health_wellbeing
I don't understand course registration.,academic_advising
How do I deal with study schedule?,academic_advising
I feel stressed because of feeling stuck academically.,mental_health_wellbeing
Do you have advice for exam stress?,mental_health_wellbeing
I don't understand course materials.,academic_advising
How can I cope with study anxiety?,mental_health_wellbeing
I'm feeling anxious about mental exhaustion.,mental_health_wellbeing
I need help with course materials.,academic_advising
I'm feeling anxious about career uncertainty.,mental_health_wellbeing
How does midterm exams work in university?,academic_advising
How can I improve my situation with loneliness at university?,mental_health_wellbeing
I feel overwhelmed due to balancing work and study.,mental_health_wellbeing
What should I do if I experience exam stress?,mental_health_wellbeing
Can you guide me regarding failing a course?,academic_advising
I don't understand final exams.,academic_advising
Can the university help me with late assignments?,academic_advising
What should I do if I experience loneliness at university?,mental_health_wellbeing
What happens if I have issues with late assignments?,academic_advising
How do I deal with assignment submission?,academic_advising
Can you guide me regarding graduation requirements?,academic_advising
What are the rules about assignment submission?,academic_advising
Do you have advice for burnout?,mental_health_wellbeing
What are the rules about study planning?,academic_advising
Can you guide me regarding retaking a course?,academic_advising
I feel overwhelmed due to difficulty focusing.,mental_health_wellbeing
What happens if I have issues with late assignments?,academic_advising
What are the rules about course materials?,academic_advising
How does credit hours work in university?,academic_advising
What happens if I have issues with grading system?,academic_advising
How does group projects work in university?,academic_advising
I'm having trouble because of family pressure about grades.,mental_health_wellbeing
I feel stressed because of confidence issues.,mental_health_wellbeing
What happens if I have issues with graduation requirements?,academic_advising
What happens if I have issues with midterm exams?,academic_advising
Can you explain study planning?,academic_advising
I'm feeling anxious about exam stress.,mental_health_wellbeing
Any tips for dealing with balancing work and study?,mental_health_wellbeing
What should I do about assignment submission?,academic_advising
What are the rules about course registration?,academic_advising
Can the university help me with course withdrawal?,academic_advising
What should I do if I experience lack of motivation?,mental_health_wellbeing
What should I do if I experience burnout?,mental_health_wellbeing
Any tips for dealing with loss of interest in studying?,mental_health_wellbeing
What are the rules about failing a course?,academic_advising
I don't understand assignment submission.,academic_advising
I'm struggling with career uncertainty.,mental_health_wellbeing
What are the rules about academic probation?,academic_advising
I feel overwhelmed due to burnout.,mental_health_wellbeing
Can the university help me with study schedule?,academic_advising
I need help with course registration.,academic_advising
Do you have advice for loss of interest in studying?,mental_health_wellbeing
Can you guide me regarding late assignments?,academic_advising
I need help with course selection.,academic_advising
How do I deal with study planning?,academic_advising
I'm struggling with study anxiety.,mental_health_wellbeing
What happens if I have issues with group projects?,academic_advising
I feel overwhelmed due to stress during deadlines.,mental_health_wellbeing
How does course registration work in university?,academic_advising
Do you have advice for procrastination?,mental_health_wellbeing
Can you explain course prerequisites?,academic_advising
I'm struggling with exam stress.,mental_health_wellbeing
Any tips for dealing with feeling stuck academically?,mental_health_wellbeing
What should I do about academic probation?,academic_advising
